Coin,Timeframe,Trades,Sharp Ratio,Return,Max. Drawdown
ATOM/USDC:USDC,30m,59,1.4041667829254076,69.84774585599989,-13.375242265317766
ATOM/USDC:USDC,1h,73,1.6830850008271134,153.923976336,-6.93644037845459
AVAX/USDC:USDC,30m,51,1.0880728680712932,164.29767816,-11.914258693919667
AVAX/USDC:USDC,1h,39,1.0271413327346381,198.03625376000002,-9.82284385913028
BADGER/USDC:USDC,30m,277,0.2855661152831649,191.41895193600004,-30.884101813564733
BADGER/USDC:USDC,1h,125,0.33926999467762875,110.52334293600012,-36.25862858423006
BANANA/USDC:USDC,30m,18,0.12979860246363215,5.044207679999963,-34.821095958617
BANANA/USDC:USDC,1h,16,0.1625807669461131,10.598310159999965,-34.4118182726973
BCH/USDC:USDC,30m,85,0.9873079842341844,505.1768640000001,-7.9009117813367835
BCH/USDC:USDC,1h,23,1.0321268976515554,147.93292800000012,-13.618285891530935
BIGTIME/USDC:USDC,30m,49,0.865744621377509,173.01265910879988,-13.075190064766595
BIGTIME/USDC:USDC,1h,37,0.8380943088115462,223.7454147143998,-7.282931054215858
AAVE/USDC:USDC,30m,77,1.0254468807358113,162.15073328000005,-10.165679367226376
AAVE/USDC:USDC,30m,79,1.080447511097159,168.24547904,-10.165369108681055
AAVE/USDC:USDC,1h,95,1.2170375865068646,224.31847727999977,-8.617716845884226
AAVE/USDC:USDC,4h,19,1.226074691312486,141.33124528000008,-4.8898977902916645
ACE/USDC:USDC,30m,51,0.7066620977475113,133.61000131999987,-15.878891562968022
ACE/USDC:USDC,1h,71,1.1117601385731977,289.7961656479999,-9.685556623554536
ACE/USDC:USDC,4h,19,0.8604974937543232,40.94031089599992,-24.562617481900894
ADA/USDC:USDC,30m,88,1.2491178850039488,140.25181035759996,-9.308019006669843
ADA/USDC:USDC,1h,43,1.293868519841312,92.51118287359994,-10.453317022039876
ADA/USDC:USDC,4h,9,1.4820434228738564,42.77170446639997,-4.423370961502471
AI/USDC:USDC,30m,118,0.8534203224083732,470.00068990559953,-11.826872693529666
AI/USDC:USDC,1h,33,0.9502930301641248,232.7888272447999,-8.474599937629712
AI/USDC:USDC,4h,19,1.148338510917674,240.7573169016,-4.637868233437203
ALT/USDC:USDC,30m,73,0.7960109921229005,489.3449901824004,-10.430007473120694
ALT/USDC:USDC,1h,55,0.9499979130731618,721.9971955056001,-10.247994611238443
ALT/USDC:USDC,4h,3,1.3771962880908877,53.76799620159996,-8.081770327525884
APE/USDC:USDC,30m,57,1.1256383760368451,99.30294237599999,-8.644756161481803
APE/USDC:USDC,1h,51,1.252726960175103,218.2064362240003,-6.206848846167324
APE/USDC:USDC,4h,23,1.3090486749676957,134.48190059200002,-3.9296275587740626
APT/USDC:USDC,30m,49,0.9164989254847413,126.98778798399995,-16.079578589158416
APT/USDC:USDC,1h,35,0.9947661798405257,140.436984152,-12.177433474144749
APT/USDC:USDC,4h,15,1.3287824601327838,108.84822808799998,-7.642057982304761
AR/USDC:USDC,30m,55,0.9742620298377528,301.0342682399998,-14.42659957234479
AR/USDC:USDC,1h,25,1.023477824084859,202.19637535999996,-12.765812732582226
AR/USDC:USDC,4h,35,1.2003524314067833,335.4046559200001,-8.27862951378986
ARB/USDC:USDC,30m,51,1.1693498505075348,115.33287271199988,-8.112505412627936
ARB/USDC:USDC,1h,35,1.3009839358549287,128.76001897600003,-8.484442734681464
ARB/USDC:USDC,4h,9,1.488915452570116,79.28859513600001,-7.582320190695702
ARK/USDC:USDC,30m,49,0.8028510375972927,152.66832237039986,-10.78468208404747
ARK/USDC:USDC,1h,17,1.3766615172346397,117.23329529280007,-9.2600930155876
ARK/USDC:USDC,4h,7,1.4334872933648646,50.75494863760003,-6.44940463971484
ATOM/USDC:USDC,30m,49,1.395535483415766,55.26516247200001,-14.259190600836046
ATOM/USDC:USDC,1h,61,1.8054947460308934,119.75621132800003,-6.935705981186224
ATOM/USDC:USDC,4h,1,1.7432584368702562,33.13557212000002,-4.485369658652971
AVAX/USDC:USDC,30m,87,1.1621106401408514,162.5962675200001,-11.67571328598429
AVAX/USDC:USDC,1h,21,1.2594213886348773,108.99424847999998,-10.773741288124805
AVAX/USDC:USDC,4h,41,1.4155524486142885,156.9936566399998,-8.59273812257415
BADGER/USDC:USDC,30m,279,0.23897084247602385,101.4253172559999,-32.74543707687832
BADGER/USDC:USDC,1h,139,0.3027190182618593,34.1718728239998,-36.2609601494322
BADGER/USDC:USDC,4h,4,1.098649203527737,71.89570524000003,-6.663661105718344
BANANA/USDC:USDC,30m,2,0.12203657338145384,16.19388640000001,-34.83201508062286
BANANA/USDC:USDC,1h,0,nan,0.0,-0.0
BANANA/USDC:USDC,30m,14,0.11220420562887337,4.543426079999899,-34.799840752272495
BANANA/USDC:USDC,1h,0,nan,0.0,-0.0
BANANA/USDC:USDC,4h,32,0.5144563440706741,133.07536080000008,-18.69502009308993
BANANA/USDC:USDC,30m,0,nan,0.0,-0.0
