,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-03-30 16:00:00,,,,,,6.9784,7.0237,6.9371,7.0051,1906.4
2024-03-30 16:00:00,6.9784,7.0237,6.9371,7.0051,1906.4,,,,,
2024-03-30 17:00:00,,,,,,6.9943,7.0061,6.9768,6.9935,272.5
2024-03-30 17:00:00,6.9943,7.0061,6.9768,6.9935,272.5,,,,,
2024-03-30 18:00:00,,,,,,6.9791,7.0071,6.9641,6.9642,957.5
2024-03-30 18:00:00,6.9791,7.0071,6.9641,6.9642,957.5,,,,,
2024-03-30 19:00:00,6.9612,6.972,6.9145,6.9691,1856.7,,,,,
2024-03-30 19:00:00,,,,,,6.9612,6.972,6.9145,6.9691,1856.7
2024-03-30 20:00:00,,,,,,6.9574,6.9762,6.942,6.942,588.1
2024-03-30 20:00:00,6.9574,6.9762,6.942,6.942,588.1,,,,,
2024-03-30 21:00:00,6.9378,6.9519,6.8521,6.8956,1121.4,,,,,
2024-03-30 21:00:00,,,,,,6.9378,6.9519,6.8521,6.8956,1121.4
2024-03-30 22:00:00,6.8809,6.9083,6.7855,6.831,36355.3,,,,,
2024-03-30 22:00:00,,,,,,6.8809,6.9083,6.7855,6.831,36355.3
2024-03-30 23:00:00,6.8294,6.8689,6.7706,6.8404,5393.8,,,,,
2024-03-30 23:00:00,,,,,,6.8294,6.8689,6.7706,6.8404,5393.8
2024-03-31 00:00:00,6.8297,6.8604,6.7918,6.8568,3162.5,,,,,
2024-03-31 00:00:00,,,,,,6.8297,6.8604,6.7918,6.8568,3162.5
2024-03-31 01:00:00,,,,,,6.8521,6.9305,6.8375,6.9257,6266.8
2024-03-31 01:00:00,6.8521,6.9305,6.8375,6.9257,6266.8,,,,,
2024-03-31 02:00:00,6.9178,6.9197,6.8438,6.8833,772.7,,,,,
2024-03-31 02:00:00,,,,,,6.9178,6.9197,6.8438,6.8833,772.7
2024-03-31 03:00:00,,,,,,6.889,6.8949,6.825,6.8298,1365.2
2024-03-31 03:00:00,6.889,6.8949,6.825,6.8298,1365.2,,,,,
2024-03-31 04:00:00,6.8345,6.933,6.8043,6.9152,68710.5,,,,,
2024-03-31 04:00:00,,,,,,6.8345,6.933,6.8043,6.9152,68710.5
2024-03-31 05:00:00,6.9027,7.0485,6.9027,7.0462,51553.7,,,,,
2024-03-31 05:00:00,,,,,,6.9027,7.0485,6.9027,7.0462,51553.7
2024-03-31 06:00:00,7.0302,7.0536,6.9264,6.9764,46383.3,,,,,
2024-03-31 06:00:00,,,,,,7.0302,7.0536,6.9264,6.9764,46383.3
2024-03-31 07:00:00,,,,,,6.9791,7.1031,6.9778,6.995,21325.1
2024-03-31 07:00:00,6.9791,7.1031,6.9778,6.995,21325.1,,,,,
2024-03-31 08:00:00,,,,,,7.0066,7.0476,6.9638,7.0026,43516.6
2024-03-31 08:00:00,7.0066,7.0476,6.9638,7.0026,43516.6,,,,,
2024-03-31 09:00:00,7.001,7.0584,6.9768,6.9984,29086.1,,,,,
2024-03-31 09:00:00,,,,,,7.001,7.0584,6.9768,6.9984,29086.1
2024-03-31 10:00:00,6.9982,7.0048,6.9143,6.9497,12911.2,,,,,
2024-03-31 10:00:00,,,,,,6.9982,7.0048,6.9143,6.9497,12911.2
2024-03-31 11:00:00,6.9482,6.9773,6.932,6.9691,18378.2,,,,,
2024-03-31 11:00:00,,,,,,6.9482,6.9773,6.932,6.9691,18378.2
2024-03-31 12:00:00,6.9683,7.0415,6.9487,6.9941,21485.6,,,,,
2024-03-31 12:00:00,,,,,,6.9683,7.0415,6.9487,6.9941,21485.6
2024-03-31 13:00:00,6.9879,7.1699,6.9796,7.1286,3209.4,,,,,
2024-03-31 13:00:00,,,,,,6.9879,7.1699,6.9796,7.1286,3209.4
2024-03-31 14:00:00,7.1114,7.302,7.0912,7.2034,16372.6,,,,,
2024-03-31 14:00:00,,,,,,7.1114,7.302,7.0912,7.2034,16372.6
2024-03-31 15:00:00,,,,,,7.2098,7.2098,7.0175,7.0356,6271.8
2024-03-31 15:00:00,7.2098,7.2098,7.0175,7.0356,6271.8,,,,,
2024-03-31 16:00:00,,,,,,7.0355,7.1356,7.0355,7.0836,3198.9
2024-03-31 16:00:00,7.0355,7.1356,7.0355,7.0836,3198.9,,,,,
2024-03-31 17:00:00,7.0815,7.1074,7.0481,7.0745,690.1,,,,,
2024-03-31 17:00:00,,,,,,7.0815,7.1074,7.0481,7.0745,690.1
2024-03-31 18:00:00,,,,,,7.0578,7.1864,7.0561,7.1577,786.5
2024-03-31 18:00:00,7.0578,7.1864,7.0561,7.1577,786.5,,,,,
2024-03-31 19:00:00,7.1445,7.1445,7.0954,7.1197,667.2,,,,,
2024-03-31 19:00:00,,,,,,7.1445,7.1445,7.0954,7.1197,667.2
2024-03-31 20:00:00,7.1217,7.1809,7.1123,7.1719,819.6,,,,,
2024-03-31 20:00:00,,,,,,7.1217,7.1809,7.1123,7.1719,819.6
2024-03-31 21:00:00,7.1562,7.1997,7.0874,7.1322,1224.8,,,,,
2024-03-31 21:00:00,,,,,,7.1562,7.1997,7.0874,7.1322,1224.8
2024-03-31 22:00:00,,,,,,7.1344,7.1385,7.0697,7.0978,5587.5
2024-03-31 22:00:00,7.1344,7.1385,7.0697,7.0978,5587.5,,,,,
2024-03-31 23:00:00,,,,,,7.0965,7.2208,7.0744,7.1533,37893.5
2024-03-31 23:00:00,7.0965,7.2208,7.0744,7.1533,37893.5,,,,,
2024-04-01 00:00:00,,,,,,7.153,7.1648,7.0804,7.1259,5859.9
2024-04-01 00:00:00,7.153,7.1648,7.0804,7.1259,5859.9,,,,,
2024-04-01 01:00:00,7.1302,7.1302,6.982,7.0345,53075.9,,,,,
2024-04-01 01:00:00,,,,,,7.1302,7.1302,6.982,7.0345,53075.9
2024-04-01 02:00:00,7.0339,7.081,7.0187,7.0544,1739.7,,,,,
2024-04-01 02:00:00,,,,,,7.0339,7.081,7.0187,7.0544,1739.7
2024-04-01 03:00:00,,,,,,7.0445,7.0587,6.9403,6.9803,77053.8
2024-04-01 03:00:00,7.0445,7.0587,6.9403,6.9803,77053.8,,,,,
2024-04-01 04:00:00,,,,,,6.9766,6.9936,6.9145,6.9424,2649.6
2024-04-01 04:00:00,6.9766,6.9936,6.9145,6.9424,2649.6,,,,,
2024-04-01 05:00:00,6.9431,6.9651,6.1348,6.4899,90654.2,,,,,
2024-04-01 05:00:00,,,,,,6.9431,6.9651,6.1348,6.4899,90654.2
2024-04-01 06:00:00,6.496,6.6608,6.4644,6.6178,35443.8,,,,,
2024-04-01 06:00:00,,,,,,6.496,6.6608,6.4644,6.6178,35443.8
2024-04-01 07:00:00,,,,,,6.6086,6.6977,6.6086,6.6581,4499.3
2024-04-01 07:00:00,6.6086,6.6977,6.6086,6.6581,4499.3,,,,,
2024-04-01 08:00:00,,,,,,6.6581,6.6597,6.5911,6.5927,4666.7
2024-04-01 08:00:00,6.6581,6.6597,6.5911,6.5927,4666.7,,,,,
2024-04-01 09:00:00,,,,,,6.5969,6.7386,6.5969,6.6412,5198.8
2024-04-01 09:00:00,6.5969,6.7386,6.5969,6.6412,5198.8,,,,,
2024-04-01 10:00:00,,,,,,6.6449,6.6666,6.6287,6.666,1210.8
2024-04-01 10:00:00,6.6449,6.6666,6.6287,6.666,1210.8,,,,,
2024-04-01 11:00:00,,,,,,6.6497,6.7098,6.6411,6.6493,2075.5
2024-04-01 11:00:00,6.6497,6.7098,6.6411,6.6493,2075.5,,,,,
2024-04-01 12:00:00,6.6451,6.7747,6.6451,6.732,6472.7,,,,,
2024-04-01 12:00:00,,,,,,6.6451,6.7747,6.6451,6.732,6472.7
2024-04-01 13:00:00,,,,,,6.7205,6.8128,6.7082,6.7789,8838.8
2024-04-01 13:00:00,6.7205,6.8128,6.7082,6.7789,8838.8,,,,,
2024-04-01 14:00:00,,,,,,6.7798,6.7927,6.5976,6.6095,8894.7
2024-04-01 14:00:00,6.7798,6.7927,6.5976,6.6095,8894.7,,,,,
2024-04-01 15:00:00,,,,,,6.5908,6.6375,6.4774,6.5091,8565.5
2024-04-01 15:00:00,6.5908,6.6375,6.4774,6.5091,8565.5,,,,,
2024-04-01 16:00:00,6.4994,6.6122,6.4994,6.544,1784.1,,,,,
2024-04-01 16:00:00,,,,,,6.4994,6.6122,6.4994,6.544,1784.1
2024-04-01 17:00:00,,,,,,6.5291,6.6222,6.5149,6.5847,3733.5
2024-04-01 17:00:00,6.5291,6.6222,6.5149,6.5847,3733.5,,,,,
2024-04-01 18:00:00,,,,,,6.5864,6.6105,6.4492,6.5853,8573.8
2024-04-01 18:00:00,6.5864,6.6105,6.4492,6.5853,8573.8,,,,,
2024-04-01 19:00:00,,,,,,6.576,6.6282,6.5592,6.6248,7720.2
2024-04-01 19:00:00,6.576,6.6282,6.5592,6.6248,7720.2,,,,,
2024-04-01 20:00:00,6.6219,6.6678,6.581,6.6594,842.7,,,,,
2024-04-01 20:00:00,,,,,,6.6219,6.6678,6.581,6.6594,842.7
2024-04-01 21:00:00,6.6432,6.697,6.6139,6.6723,416.4,,,,,
2024-04-01 21:00:00,,,,,,6.6432,6.697,6.6139,6.6723,416.4
2024-04-01 22:00:00,,,,,,6.7046,6.842,6.673,6.7673,20440.2
2024-04-01 22:00:00,6.7046,6.842,6.673,6.7673,20440.2,,,,,
2024-04-01 23:00:00,6.7553,6.8608,6.7537,6.8077,350.4,,,,,
2024-04-01 23:00:00,,,,,,6.7553,6.8608,6.7537,6.8077,350.4
2024-04-02 00:00:00,6.8145,6.829,6.6985,6.7422,10307.3,,,,,
2024-04-02 00:00:00,,,,,,6.8145,6.829,6.6985,6.7422,10307.3
2024-04-02 01:00:00,6.7195,6.8064,6.7052,6.742,1082.3,,,,,
2024-04-02 01:00:00,,,,,,6.7195,6.8064,6.7052,6.742,1082.3
2024-04-02 02:00:00,6.7392,6.7392,6.2692,6.5811,6767.9,,,,,
2024-04-02 02:00:00,,,,,,6.7392,6.7392,6.2692,6.5811,6767.9
2024-04-02 03:00:00,6.5677,6.6437,6.533,6.5523,497.9,,,,,
2024-04-02 03:00:00,,,,,,6.5677,6.6437,6.533,6.5523,497.9
2024-04-02 04:00:00,,,,,,6.5818,6.6928,6.563,6.6128,2183.4
2024-04-02 04:00:00,6.5818,6.6928,6.563,6.6128,2183.4,,,,,
2024-04-02 05:00:00,6.5908,6.6459,6.4933,6.6448,3422.4,,,,,
2024-04-02 05:00:00,,,,,,6.5908,6.6459,6.4933,6.6448,3422.4
2024-04-02 06:00:00,6.657,6.7506,6.5944,6.6944,1348.3,,,,,
2024-04-02 06:00:00,,,,,,6.657,6.7506,6.5944,6.6944,1348.3
2024-04-02 07:00:00,6.7171,6.8037,6.6518,6.654,2359.5,,,,,
2024-04-02 07:00:00,,,,,,6.7171,6.8037,6.6518,6.654,2359.5
2024-04-02 08:00:00,6.6533,6.6917,6.4834,6.5103,8591.9,,,,,
2024-04-02 08:00:00,,,,,,6.6533,6.6917,6.4834,6.5103,8591.9
2024-04-02 09:00:00,6.5052,6.6848,6.4181,6.6555,10051.0,,,,,
2024-04-02 09:00:00,,,,,,6.5052,6.6848,6.4181,6.6555,10051.0
2024-04-02 10:00:00,6.646,6.7764,6.591,6.7177,2490.8,,,,,
